I_D,YEAR,MONTH,DAY,date,HOUR,MINUTE,SECOND,FOCAL_DEPTH,intensity,COUNTRY,STATE,LOCATION_NAME,,type
306,1000,1,,1/1/1000,,,,,,SLOVENIA,,BALKANS NW:  SLOVENIA:  LJUBLJANA,,e
307,1000,4,30,4/30/1000,,,,,,CHINA,,CHINA:  SHAANXI PROVINCE,,e
309,1001,1,,1/1/1001,,,,,,CHINA,,CHINA:  SHAANXI PROVINCE:  TSIN,,e
308,1001,,,1/1/1001,,,    ,,6,ITALY,,ITALY:  VERONA,,e
312,1003,,,1/1/1003,,,    ,,,FRANCE,,FRANCE:  BURGUNDY,,e
311,1003,,,1/1/1003,,,,20,4.2,TURKEY,,"TURKEY:  KARS, DIGOR, ANI (ARMENIA)",,e
316,1007,9,17,9/17/1007,,,,,,IRAQ,,"IRAN-IRAQ:  DINAVAR,BAGHDAD, TIGRIS-KTESIPHON",,e
318,1008,4,11,4/11/1008,,,,,6.5,IRAN,,IRAN-IRAQ:  DAINAWAR,,e
319,1010,3,9,3/9/1010,,,    ,,,TURKEY,,TURKEY,,e
321,1013,,,1/1/1013,,,,,,ICELAND,,ICELAND:  SUDURLAND,,e
322,1021,5,12,5/12/1021,10,,    ,,,SWITZERLAND,,SWITZERLAND,,e
7905,1022,4,,4/1/1022,,,,,6.5,CHINA,,CHINA:  SHAANXI PROVINCE:  DATONG,,e
5902,1026,6,16,6/16/1026,,,,,7.5,JAPAN,,"JAPAN:  OFF MASUDA, SHIMANE PREFECTURE",,e
8156,1033,12,5,12/5/1033,,,,,,SYRIA,,"ISRAEL:  RAMALA, GAZA, NABLUS; EGYPT",,e
325,1036,7,,7/1/1036,,,,,5.7,NORTH KOREA,,NORTH KOREA:  KAESONG,,e
326,1037,12,,12/1/1037,,,,,,CHINA,,CHINA:  JIANGSU PROVINCE:  TAICHOU,,e
327,1038,1,9,1/9/1038,,,,,7.3,CHINA,,"CHINA:  SHAANXI PROVINCE:  DINGXIANG, XINXIAN",,e
8237,1039,2,2,2/2/1039,,,,,6.8,TURKEY,,TURKEY:  ISTANBUL (CONSTANTINOPLE),,e
330,1040,,,1/1/1040,,,,,,TUNISIA,,TUNISIA:  AL-KAIRAWAN,,e
333,1042,8,21,8/21/1042,,,,,,IRAN,,IRAN:  TABRIZ,,e
335,1042,11,4,11/4/1042,13,30,,15,7.6,IRAN,,IRAN:  TABRIZ,,e
336,1045,,,1/1/1045,,,    ,,,TURKEY,,TURKEY,,e
337,1046,,,1/1/1046,,,    ,15,5.5,TURKEY,,TURKEY:  ANI (ARMENIA),,e
338,1048,,,1/1/1048,,,,,,UK,,UNITED KINGDOM:  BRITIAN,,e
341,1052,3,,3/1/1052,,,,,,IRAN,,"IRAN:  KHORASAN:  BAIHAQ, NISHAPUR",,e
339,1052,,,1/1/1052,,,,,,IRAN,,IRAN:  KHUZESTAN:  ARRJAN,,e
344,1057,,,1/1/1057,,,,,6.8,CHINA,,CHINA:  BEIJING,,e
348,1058,12,8,12/8/1058,15,,,,,IRAQ,,"IRAQ:  MOSUL, KIRKUK, HAMADAN, TIKRIT, WASIT, AMAH",,e
351,1063,7,,7/1/1063,,,    ,,,LEBANON,,"LEBANON:  TARABULUS (TRIPOLIS), TYRE; TURKEY; IRAQ",,e
352,1063,9,23,9/23/1063,,,    ,,,TURKEY,,"TURKEY:  ISTANBUL,TRAKYA, ERDEK, IZNIK",,e
353,1064,,,1/1/1064,,,    ,,,TURKEY,,"TURKEY:  IZNIK,NICAEA",,e
354,1065,1,21,1/21/1065,,,    ,,,ITALY,,"ITALY:  SICILY:  CATANIA,MESSINA,MILAZZO,PALE",,e
355,1065,12,3,12/3/1065,,,    ,,,IRAN,,"IRAN:  KHORASAN,JABAL",,e
356,1066,3,31,3/31/1066,,,    ,,,IRAN,,IRAN:  KHORASAN,,e
359,1067,11,,11/1/1067,,,,,6.8,CHINA,,CHINA:  GUANGDONG PROVINCE,,e
361,1068,3,18,3/18/1068,,,,,,ISRAEL,,"ISRAEL:  RAMLA,PALESTINE,JERUSALEM,TABUK,KUFA,HALLA",,e
362,1068,8,14,8/14/1068,,,,,6,CHINA,,"CHINA:  HEBEI PROVINCE:  CANGZHOU, HEJIAN",,e
364,1070,2,25,2/25/1070,,,    ,,,EGYPT,,EGYPT:  AL-QAHIRAH (CAIRO); ISRAEL:  JERUSALEM,,e
365,1072,,,1/1/1072,,,,,,YEMEN,,"YEMEN:  SANA, ZABID; SAUDI ARABIA:  MECCA",,e
366,1076,,,1/1/1076,,,    ,,,SYRIA,,SYRIA:  (MANY COUNTRIES),,e
367,1082,12,6,12/6/1082,,,    ,,,TURKEY,,TURKEY,,e
369,1085,4,29,4/29/1085,,,    ,,,TURKEY,,TURKEY:  ERZURUM,,e
368,1085,4,29,4/29/1085,,,    ,,,IRAN,,"IRAN:  ARAJAN,KHUZESTAN",,e
371,1086,4,18,4/18/1086,,,    ,,,IRAQ,,"IRAQ:  MESOPOTAMIA,JAZIRAH,BADHARAYA; SYRIA",,e
370,1086,,,1/1/1086,,,    ,,,ITALY,,ITALY:  SIRACUSA (SYRACUSE),,e
372,1088,4,22,4/22/1088,,,    ,10,5.3,GEORGIA,,GEORGIA:  TMOGVI,,e
5904,1088,6,10,6/10/1088,,,,,7,JAPAN,,JAPAN:  SANRIKU,,e
373,1089,,,1/1/1089,,,    ,,,SYRIA,,SYRIA:  TUDMUR (PALMYRA),,e
374,1091,,,1/1/1091,,,    ,,,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH); SYRIA,,e
375,1096,12,17,12/17/1096,,,,,8.4,JAPAN,,JAPAN:  ENSHUNADA,,e
7381,1099,2,22,2/22/1099,,,,,8.4,JAPAN,,JAPAN:  NANKAIDO,,e
376,1101,,,1/1/1101,,,,10,6.5,IRAN,,IRAN:  KHORASAN,,e
377,1102,1,15,1/15/1102,,,,,,CHINA,,"CHINA:  SHANXI PROVINCE:  CHIN,HSI TAI IN TAI,YUAN",,e
379,1102,2,28,2/28/1102,,,    ,15,6.1,AFGHANISTAN,,AFGHANISTAN:  GERAT,,e
380,1106,,,1/1/1106,,,,,,TURKEY,,"TURKEY:  ANTAKYA (ANTIOCH), AL-DAINOOR",,e
381,1109,,,1/1/1109,,,,,,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH),,e
382,1111,,,1/1/1111,,,    ,,,TURKEY,,TURKEY:  VAN,,e
385,1114,3,12,3/12/1114,,,,,,TURKEY,,"TURKEY:  SANAOSATA,GHISN-MANSUR,KNESUN,MARAS",,e
383,1114,,,1/1/1114,,,,,,TURKEY,,TURKEY:  ANTAKYA (ANTIOCH); SYRIA:  HALAB (ALEPPO),,e
9985,1114,,,1/1/1114,,,,,,ITALY,,ITALY:  VITERBO,,e
387,1115,,,1/1/1115,,,    ,,,IRAN,,"IRAN:  HENGAM ISLAND,KISH ISLAND",,e
388,1115,,,1/1/1115,,,,,,TURKEY,,TURKEY:  ANTIOCH; SYRIA: ALEPPO; ISRAEL: PALESTINE,,e
389,1115,,,1/1/1115,,,,,,TURKEY,,"TURKEY:  HARRAN,KUFA,SAMSAT,EL-SUN",,e
390,1117,1,3,1/3/1117,21,30,    ,,,ITALY,,ITALY:  N,,e
391,1117,3,1,3/1/1117,,,    ,,,ITALY,,ITALY:  VENEZIA (VENICE) TO EMILIA,,e
7261,1118,,,1/1/1118,,,,,,UK,,UNITED KINGDOM:  IRELAND:  SLIABH-ELPA,,e
392,1119,12,10,12/10/1119,,,    ,,6.5,IRAN,,IRAN:  QAZVIN,,e
7906,1125,8,30,8/30/1125,,,,,7,CHINA,,CHINA:  GANSU PROVINCE,,e
393,1125,10,11,10/11/1125,,,    ,,,ITALY,,ITALY:  BENEVENTO,,e
394,1130,2,12,2/12/1130,,,    ,,,IRAQ,,"IRAQ:  AL-MAWSIL (MOSUL),JABAL,JAZIRAH",,e
395,1130,2,28,2/28/1130,,,    ,,,IRAQ,,IRAQ:  BAGHDAD,,e
398,1137,9,19,9/19/1137,,,,,,IRAQ,,"IRAQ-SYRIA:  MESOPOTAMIA, MOSUL",,e
397,1137,,,1/1/1137,,,    ,,,ITALY,,ITALY:  SICILY:  CATANIA,,e
402,1139,,,1/1/1139,,,,,,AZERBAIJAN,,AZERBAIJAN:  GYZNDZHA,,e
405,1143,4,,4/1/1143,,,,,6,CHINA,,CHINA:  NINGXIA,,e
406,1149,5,11,5/11/1149,,,    ,,,IRAQ,,IRAQ:  BAGHDAD,,e
408,1151,,,1/1/1151,,,    ,,,PORTUGAL,,PORTUGAL:  LISBON,,e
407,1151,,,1/1/1151,,,    ,,6.2,SYRIA,,SYRIA:  BUSRA,,e
409,1153,,,1/1/1153,,,    ,,,GREECE,,GREECE-ALBANIA,,e
412,1155,1,18,1/18/1155,,,,,,ITALY,,ITALY:  BORGOGNE,,e
411,1155,,,1/1/1155,,,,,,SYRIA,,SYRIA:  DIMASHQ; TURKEY:ANTIOCH; LEBANON:TARABULUS,,e
