Year,Month,Day,date,TSU,EQ,Name,Location,Country,Type,Status,intensity,type
1000,,,1/1/1000,,,Changbaishan,China-E,North Korea,Stratovolcano,Historical,7,v
1104,10,15,10/15/1104,,,Hekla,Iceland-S,Iceland,Stratovolcano,Historical,5,v
1158,1,19,1/19/1158,,,Hekla,Iceland-S,Iceland,Stratovolcano,Historical,4,v
1177,,,1/1/1177,,,Katla,Iceland-S,Iceland,Subglacial volcano,Historical,3,v
1262,,,1/1/1262,,,Katla,Iceland-S,Iceland,Subglacial volcano,Historical,3,v
1280,,,1/1/1280,,,Quilotoa,Ecuador,Ecuador,Caldera,Radiocarbon,6,v
1300,7,11,7/11/1300,,,Hekla,Iceland-S,Iceland,Stratovolcano,Historical,4,v
1311,1,18,1/18/1311,,,Katla,Iceland-S,Iceland,Subglacial volcano,Historical,4,v
1311,,,1/1/1311,,,Kelut,Java,Indonesia,Stratovolcano,Historical,3,v
1329,6,28,6/28/1329,TSU,,Etna,Italy,Italy,Stratovolcano,Historical,3,v
1334,,,1/1/1334,,,Kelut,Java,Indonesia,Stratovolcano,Historical,3,v
1341,5,19,5/19/1341,,,Hekla,Iceland-S,Iceland,Stratovolcano,Historical,3,v
1357,,,1/1/1357,,,Katla,Iceland-S,Iceland,Subglacial volcano,Historical,4,v
1362,6,5,6/5/1362,,,Oraefajokull,Iceland-SE,Iceland,Stratovolcano,Historical,5,v
1375,,,1/1/1375,,,"Chichon, El",Mexico,Mexico,Tuff cone,Historical,5,v
1376,,,1/1/1376,,,Kelut,Java,Indonesia,Stratovolcano,Historical,3,v
1385,,,1/1/1385,,,Kelut,Java,Indonesia,Stratovolcano,Historical,3,v
1389,12,1,12/1/1389,,,Hekla,Iceland-S,Iceland,Stratovolcano,Historical,3,v
1410,3,5,3/5/1410,,,Nasu,Honshu-Japan,Japan,Stratovolcano,Historical,3,v
1471,11,3,11/3/1471,,,Sakura-jima,Kyushu-Japan,Japan,Stratovolcano,Historical,5,v
1477,2,,2/1/1477,,,Bardarbunga,Iceland-NE,Iceland,Stratovolcano,Historical,6,v
1500,,,1/1/1500,,,Katla,Iceland-S,Iceland,Subglacial volcano,Historical,4,v
1510,7,25,7/25/1510,,,Hekla,Iceland-S,Iceland,Stratovolcano,Historical,4,v
1510,10,15,10/15/1510,,,Hekla,Iceland-S,Iceland,Stratovolcano,Historical,4,v
1536,3,23,3/23/1536,,,Etna,Italy,Italy,Stratovolcano,Historical,3,v
1538,9,29,9/29/1538,,,Campi Flegrei,Italy,Italy,Caldera,Historical,3,v
1540,,,1/1/1540,TSU,,Augustine,Alaska-SW,United States,Lava dome,Historical,4,v
1550,11,,11/1/1550,,,Dukono,Halmahera-Indonesia,Indonesia,Complex volcano,Historical,3,v
1564,12,31,12/31/1564,,,Gamkonora,Halmahera-Indonesia,Indonesia,Stratovolcano,Historical,3,v
1565,8,,8/1/1565,,EQ,Pacaya,Guatemala,Guatemala,Complex volcano,Historical,3,v
1566,10,31,10/31/1566,,,Kirishima,Kyushu-Japan,Japan,Shield volcano,Historical,3,v
1568,,,1/1/1568,,,Savo,Solomon Is-SW Pacifi,Solomon Is.,Stratovolcano,Historical,3,v
1576,,,1/1/1576,,,Colima,Mexico,Mexico,Stratovolcano,Historical,3,v
1580,5,1,5/1/1580,,,San Jorge,Azores,Portugal,Fissure vent,Historical,3,v
1580,8,11,8/11/1580,,,Katla,Iceland-S,Iceland,Subglacial volcano,Historical,4,v
